,precision,recall,f1-score,support
Excellent,0.9606741573033708,0.8423645320197044,0.8976377952755905,203.0
Neutral,0.8114754098360656,0.6971830985915493,0.75,142.0
Not Good,0.8,0.2909090909090909,0.4266666666666667,55.0
Poor,0.8014440433212996,0.9446808510638298,0.8671875,235.0
Very Good,0.8128491620111732,0.909375,0.8584070796460177,320.0
accuracy,0.8366492146596859,0.8366492146596859,0.8366492146596859,0.8366492146596859
macro avg,0.8372885544943818,0.7369025145168349,0.759979808317655,955.0
weighted avg,0.8405208839302476,0.8366492146596859,0.8279230021930232,955.0
